date,ticker,open,high,low,close,adjClose,volume,return,relative_trading_day,film,event_stage,announced_event_date
2021-08-16,SONY,19.996000289916992,20.18400001525879,19.881999969482422,20.049999237060547,19.558435440063477,3944000,-0.01657840642064279,-5,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-08-17,SONY,19.738000869750977,19.851999282836914,19.607999801635742,19.695999145507812,19.21311378479004,3877500,-0.01765589360824238,-4,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-08-18,SONY,19.833999633789062,19.874000549316406,19.65999984741211,19.66200065612793,19.179948806762695,1808500,-0.001726163619225507,-3,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-08-19,SONY,19.29599952697754,19.398000717163086,19.124000549316406,19.32200050354004,18.848283767700195,2707000,-0.017292279682496248,-2,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-08-20,SONY,19.360000610351562,19.56800079345703,19.360000610351562,19.527999877929688,19.049230575561523,2095000,0.010661278784739325,-1,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-08-23,SONY,19.979999542236328,20.29199981689453,19.923999786376953,20.263999938964844,19.767189025878906,2713500,0.03768962990234681,0,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-08-24,SONY,20.600000381469727,20.908000946044922,20.506000518798828,20.82200050354004,20.31151008605957,3168000,0.02753659407354525,1,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-08-25,SONY,20.84000015258789,21.079999923706055,20.823999404907227,21.06999969482422,20.553424835205078,2041500,0.011910229624509272,2,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-08-26,SONY,20.624000549316406,20.624000549316406,20.29400062561035,20.329999923706055,19.831571578979492,2922500,-0.03512082594571564,3,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-08-27,SONY,20.52199935913086,20.70400047302246,20.440000534057617,20.649999618530273,20.143722534179688,2015500,0.01574010178452334,4,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-08-30,SONY,20.549999237060547,20.559999465942383,20.469999313354492,20.492000579833984,19.989599227905273,1961000,-0.007651182943614221,5,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-08-16,SPY,444.5299987792969,447.1099853515625,442.8699951171875,446.9700012207031,417.7519226074219,73740000,0.0023549554381010473,-5,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
2021-08-17,SPY,444.239990234375,444.9599914550781,440.8500061035156,444.0400085449219,415.0134582519531,92673900,-0.006555240580046862,-4,Spider-Man: No Way Home,Official teaser trailer,2021-08-23
