date,ticker,sector,sentiment,sector_augmented_sentiment,observed_news,article_count,reliability,usable_sentiment_lag1,usable_reliability_lag1
2020-01-02,ABBV,Healthcare,0.1468,0.1468,1,3.0,0.3868528072345416,,
2020-01-03,ABBV,Healthcare,0.0,0.0,0,0.0,0.0,0.1468,0.3868528072345416
2020-01-06,ABBV,Healthcare,0.10115,0.10115,1,2.0,0.30657359638272924,0.0,0.0
2020-01-07,ABBV,Healthcare,0.36258,0.36258,1,5.0,0.6,0.10115,0.30657359638272924
2020-01-08,ABBV,Healthcare,0.23786666666666667,0.3326,1,3.0,0.3868528072345416,0.36258,0.6
2020-01-09,ABBV,Healthcare,0.0,0.0,0,0.0,0.0,0.23786666666666667,0.3868528072345416
2020-01-10,ABBV,Healthcare,0.027899999999999998,0.0919,1,3.0,0.5158037429793887,0.0,0.0
2020-01-13,ABBV,Healthcare,0.31245,0.31245,1,4.0,0.4491222008519636,0.027899999999999998,0.5158037429793887
2020-01-14,ABBV,Healthcare,0.0,0.32453333333333334,1,3.0,0.5158037429793887,0.31245,0.4491222008519636
2020-01-15,ABBV,Healthcare,0.2496,0.2496,1,4.0,0.7859638514909363,0.0,0.5158037429793887
2020-01-16,ABBV,Healthcare,0.29857500000000003,0.29857500000000003,1,4.0,0.4491222008519636,0.2496,0.7859638514909363
2020-01-17,ABBV,Healthcare,0.0,0.0,0,0.0,0.0,0.29857500000000003,0.4491222008519636
2020-01-21,ABBV,Healthcare,0.057025,0.13410000000000002,1,4.0,0.4491222008519636,0.0,0.0
2020-01-22,ABBV,Healthcare,0.0,0.0,0,0.0,0.0,0.057025,0.4491222008519636
2020-01-23,ABBV,Healthcare,0.11315,0.11315,1,2.0,0.30657359638272924,0.0,0.0
2020-01-24,ABBV,Healthcare,0.4286,0.4286,1,2.0,0.30657359638272924,0.11315,0.30657359638272924
2020-01-27,ABBV,Healthcare,0.304875,0.377975,1,4.0,0.6736833012779454,0.4286,0.30657359638272924
2020-01-28,ABBV,Healthcare,0.5719,0.5719,1,1.0,0.1934264036172708,0.304875,0.6736833012779454
2020-01-29,ABBV,Healthcare,0.31845,0.31845,1,2.0,0.30657359638272924,0.5719,0.1934264036172708
2020-01-30,ABBV,Healthcare,0.32985,0.32985,1,2.0,0.30657359638272924,0.31845,0.30657359638272924
2020-01-31,ABBV,Healthcare,0.42252,0.42252,1,5.0,0.7,0.32985,0.30657359638272924
2020-02-03,ABBV,Healthcare,0.101075,0.101075,1,4.0,0.4491222008519636,0.42252,0.7
2020-02-04,ABBV,Healthcare,0.0258,-0.0258,1,1.0,0.1934264036172708,0.101075,0.4491222008519636
2020-02-05,ABBV,Healthcare,0.03288,0.22760000000000002,1,5.0,0.7,0.0258,0.1934264036172708
2020-02-06,ABBV,Healthcare,0.26932500000000004,0.303025,1,4.0,0.6736833012779454,0.03288,0.7
2020-02-07,ABBV,Healthcare,0.20339090909090907,0.20339090909090907,1,11.0,0.7272727272727273,0.26932500000000004,0.6736833012779454
2020-02-10,ABBV,Healthcare,0.11813333333333333,0.17833333333333334,1,6.0,0.6666666666666666,0.20339090909090907,0.7272727272727273
2020-02-11,ABBV,Healthcare,0.1468,0.1468,1,3.0,0.3868528072345416,0.11813333333333333,0.6666666666666666
2020-02-12,ABBV,Healthcare,0.4364666666666666,0.4364666666666666,1,3.0,0.3868528072345416,0.1468,0.3868528072345416
2020-02-13,ABBV,Healthcare,0.4019,0.4019,1,1.0,0.1934264036172708,0.4364666666666666,0.3868528072345416
2020-02-14,ABBV,Healthcare,0.18479999999999996,0.18479999999999996,1,2.0,0.30657359638272924,0.4019,0.1934264036172708
2020-02-18,ABBV,Healthcare,0.1650625,0.2458125,1,8.0,0.5625,0.18479999999999996,0.30657359638272924
2020-02-19,ABBV,Healthcare,0.24695,0.24695,1,2.0,0.4598603945740939,0.1650625,0.5625
2020-02-20,ABBV,Healthcare,0.0,0.0,0,0.0,0.0,0.24695,0.4598603945740939
2020-02-21,ABBV,Healthcare,0.0,0.0,1,1.0,0.1934264036172708,0.0,0.0
2020-02-24,ABBV,Healthcare,0.0,0.0,1,2.0,0.30657359638272924,0.0,0.1934264036172708
2020-02-25,ABBV,Healthcare,0.25383333333333336,0.25383333333333336,1,3.0,0.3868528072345416,0.0,0.30657359638272924
