date,sector,sentiment,observed_only_sentiment,coverage_rate,article_count,ticker_count,usable_sentiment_lag1
2020-01-02,Comm,0.08718,0.10897499999999999,0.8,11.0,5,
2020-01-03,Comm,0.05423,0.135575,0.4,3.0,5,0.08718
2020-01-06,Comm,0.10428583333333333,0.1738097222222222,0.6,16.0,5,0.05423
2020-01-07,Comm,0.17558,0.29263333333333336,0.6,5.0,5,0.10428583333333333
2020-01-08,Comm,0.154382,0.1929775,0.8,20.0,5,0.17558
2020-01-09,Comm,0.16018,0.16018,1.0,6.0,5,0.154382
2020-01-10,Comm,0.028676666666666673,0.03584583333333334,0.8,8.0,5,0.16018
2020-01-13,Comm,0.0006191666666666678,0.0015479166666666697,0.4,14.0,5,0.028676666666666673
2020-01-14,Comm,0.03452,0.0863,0.4,4.0,5,0.0006191666666666678
2020-01-15,Comm,0.00041833333333333165,0.0006972222222222194,0.6,9.0,5,0.03452
2020-01-16,Comm,0.11389,0.1423625,0.8,17.0,5,0.00041833333333333165
2020-01-17,Comm,0.038040000000000004,0.0634,0.6,8.0,5,0.11389
2020-01-21,Comm,-0.022039999999999997,-0.027549999999999998,0.8,19.0,5,0.038040000000000004
2020-01-22,Comm,0.10965,0.18275,0.6,4.0,5,-0.022039999999999997
2020-01-23,Comm,0.19437114285714285,0.19437114285714285,1.0,22.0,5,0.10965
2020-01-24,Comm,0.10515933333333334,0.13144916666666667,0.8,24.0,5,0.19437114285714285
2020-01-27,Comm,-0.029038181818181817,-0.03629772727272727,0.8,20.0,5,0.10515933333333334
2020-01-28,Comm,0.036708000000000005,0.04588500000000001,0.8,15.0,5,-0.029038181818181817
2020-01-29,Comm,0.303721,0.37965125,0.8,11.0,5,0.036708000000000005
2020-01-30,Comm,-0.014118333333333333,-0.017647916666666666,0.8,18.0,5,0.303721
2020-01-31,Comm,-0.18172545454545458,-0.2271568181818182,0.8,15.0,5,-0.014118333333333333
2020-02-03,Comm,0.129675,0.129675,1.0,21.0,5,-0.18172545454545458
2020-02-04,Comm,0.120489,0.120489,1.0,17.0,5,0.129675
2020-02-05,Comm,-0.006538333333333329,-0.008172916666666662,0.8,12.0,5,0.120489
2020-02-06,Comm,0.09675214285714287,0.09675214285714287,1.0,19.0,5,-0.006538333333333329
2020-02-07,Comm,0.03277599999999999,0.04096999999999999,0.8,13.0,5,0.09675214285714287
2020-02-10,Comm,0.09140000000000001,0.11425,0.8,20.0,5,0.03277599999999999
2020-02-11,Comm,-0.019481882352941172,-0.024352352941176464,0.8,24.0,5,0.09140000000000001
2020-02-12,Comm,0.15365222222222225,0.15365222222222225,1.0,18.0,5,-0.019481882352941172
2020-02-13,Comm,0.11660214285714285,0.11660214285714285,1.0,20.0,5,0.15365222222222225
