film,event_stage,event_date,primary_ticker,source_id,mapped_trading_date,event_day_return,benchmark_event_day_return,event_day_market_adjusted_return,window_start,window_end,eleven_trading_day_return,benchmark_eleven_day_return,eleven_day_market_adjusted_return,interpretation_limit
Spider-Man: No Way Home,Official teaser trailer,2021-08-23,SONY,S03,2021-08-23,0.03768962990234681,0.008796513622363333,0.028893116279983477,2021-08-16,2021-08-30,0.022044901759299185,0.01176807916197764,0.010276822597321544,Descriptive association only; no causal attribution to marketing.
Spider-Man: No Way Home,Official trailer,2021-11-16,SONY,S04,2021-11-16,0.01732415433174861,0.003957981144128153,0.013366173187620456,2021-11-09,2021-11-23,-0.005634212481379075,0.0017330988736841135,-0.007367311355063189,Descriptive association only; no causal attribution to marketing.
Spider-Man: No Way Home,US theatrical release,2021-12-17,SONY,S01,2021-12-17,-0.00883716234201326,-0.010642823764258402,0.0018056614222451417,2021-12-10,2021-12-27,0.03204596992399322,0.017412569319710913,0.01463340060428231,Descriptive association only; no causal attribution to marketing.
Barbie,Teaser trailer 2,2023-04-04,MAT,S10,2023-04-04,-0.002763915789873228,-0.005548032738104891,0.002784116948231663,2023-03-28,2023-04-12,0.020491825704515687,0.031471258172801386,-0.0109794324682857,Descriptive association only; no causal attribution to marketing.
Barbie,Main trailer,2023-05-25,MAT,S11,2023-05-25,-0.0213698295697774,0.008659945564907456,-0.030029775134684855,2023-05-18,2023-06-02,-0.04892163566430863,0.02072860848755198,-0.06965024415186061,Descriptive association only; no causal attribution to marketing.
Barbie,US theatrical release,2023-07-21,MAT,S06,2023-07-21,-0.004231318789419181,0.0,-0.004231318789419181,2023-07-14,2023-07-28,-0.03311571707721961,0.01700523599781456,-0.05012095307503417,Descriptive association only; no causal attribution to marketing.
