tconst,averageRating,numVotes,film,retrieved_date,temporal_use
tt10872600,8.1,1057611,Spider-Man: No Way Home,2026-08-14,Post-release descriptive assurance only; not a tradable signal
tt1517268,6.8,701482,Barbie,2026-08-14,Post-release descriptive assurance only; not a tradable signal
